GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Practica05-Airport,es.ull.passengers,Passenger,34,52,5,5,4,19,6,7,1,7
Practica05-Airport,es.ull.flights,Flight,17,58,2,2,2,17,2,7,0,7
